Timestamp,Class,Confidence
2026-03-11 12:04:14,fire,0.76
2026-03-11 12:04:15,fire,0.78
2026-03-11 12:04:15,fire,0.88
2026-03-11 12:04:16,fire,0.69
2026-03-11 12:04:18,fire,0.73
2026-03-26 22:22:58,fire,0.63
2026-03-26 22:22:59,fire,0.63
2026-03-26 22:24:03,fire,0.79
2026-03-26 22:24:06,fire,0.90
2026-03-26 22:24:08,fire,0.73
2026-03-26 22:24:08,fire,0.64
2026-03-26 22:24:09,fire,0.90
2026-03-26 22:24:09,fire,0.67
2026-03-26 22:24:10,fire,0.86
2026-03-26 22:24:10,fire,0.91
2026-03-26 22:24:11,fire,0.64
2026-03-26 22:24:11,fire,0.60
2026-03-26 22:24:12,fire,0.69
2026-03-26 22:24:12,fire,0.65
2026-03-26 22:24:12,fire,0.69
2026-03-26 22:24:13,fire,0.85
2026-03-26 22:24:14,fire,0.72
2026-03-26 22:24:14,fire,0.60
2026-03-26 22:24:15,fire,0.87
2026-03-26 22:24:15,fire,0.70
2026-03-26 22:24:15,fire,0.80
2026-03-26 22:24:16,fire,0.89
2026-03-26 22:24:16,fire,0.86
2026-03-26 22:24:17,fire,0.76
2026-03-26 22:24:17,fire,0.89
2026-03-26 22:24:17,fire,0.92
2026-03-26 22:24:18,fire,0.63
2026-03-26 22:24:18,fire,0.79
2026-03-26 22:24:19,fire,0.74
2026-03-26 22:24:19,fire,0.84
2026-03-26 22:24:20,fire,0.90
2026-03-26 22:24:20,fire,0.85
2026-03-26 22:24:20,fire,0.91
2026-03-26 22:24:21,fire,0.70
2026-03-26 22:24:21,fire,0.79
2026-03-26 22:24:22,fire,0.61
2026-03-26 22:24:22,fire,0.89
2026-03-26 22:24:22,fire,0.86
2026-03-26 22:24:23,fire,0.76
2026-03-26 22:24:23,fire,0.75
2026-03-26 22:24:24,fire,0.90
2026-03-26 22:26:36,fire,0.89
2026-03-26 22:26:36,fire,0.77
2026-03-26 22:26:37,fire,0.63
2026-03-26 22:26:38,fire,0.80
2026-03-26 22:26:39,fire,0.68
2026-03-26 22:26:39,fire,0.88
2026-03-26 22:26:39,fire,0.70
2026-03-26 22:26:40,fire,0.76
2026-03-26 22:26:40,fire,0.71
2026-03-26 22:26:41,fire,0.70
2026-03-26 22:26:41,fire,0.81
2026-03-26 22:26:42,fire,0.77
2026-03-26 22:26:42,fire,0.61
2026-03-26 22:26:43,fire,0.73
2026-03-26 22:26:43,fire,0.69
2026-03-26 22:26:43,fire,0.66
2026-03-26 22:26:44,fire,0.78
2026-03-26 22:26:44,fire,0.64
2026-03-26 22:26:44,fire,0.76
2026-03-26 22:26:45,fire,0.74
2026-03-26 22:26:45,fire,0.71
2026-03-26 22:26:45,fire,0.75
2026-03-26 22:26:46,fire,0.66
2026-03-26 22:26:47,fire,0.68
2026-03-26 22:26:47,fire,0.81
2026-03-26 22:26:48,fire,0.73
2026-03-26 22:26:48,fire,0.70
2026-03-26 22:26:49,fire,0.89
2026-03-26 22:26:49,fire,0.68
2026-03-26 22:26:49,fire,0.69
2026-03-26 22:26:51,fire,0.89
2026-03-26 22:26:51,fire,0.61
2026-03-26 22:26:51,fire,0.90
2026-03-26 22:32:29,fire,0.61
2026-03-26 22:32:34,fire,0.83
2026-03-26 22:32:34,fire,0.76
2026-03-26 22:32:35,fire,0.64
2026-03-26 22:32:36,fire,0.66
2026-03-26 22:32:37,fire,0.62
2026-03-26 22:32:45,fire,0.60
2026-03-26 22:32:49,fire,0.61
2026-03-26 22:32:49,fire,0.77
2026-03-26 22:32:50,fire,0.85
2026-03-26 22:32:50,fire,0.72
2026-03-26 22:32:51,fire,0.60
2026-03-26 22:32:52,fire,0.75
2026-03-26 22:32:52,fire,0.65
2026-03-26 22:32:53,fire,0.68
2026-03-26 22:32:55,fire,0.61
2026-03-26 22:32:55,fire,0.69
2026-03-26 22:32:58,fire,0.61
2026-03-26 22:33:18,fire,0.61
2026-03-26 22:33:19,fire,0.81
2026-03-26 22:33:23,fire,0.61
2026-03-26 22:33:24,fire,0.65
2026-03-26 22:33:25,fire,0.61
2026-03-26 22:33:33,fire,0.73
2026-03-26 22:33:36,fire,0.64
2026-03-26 22:33:39,fire,0.81
2026-03-26 22:33:40,fire,0.66
2026-03-26 22:33:40,fire,0.61
2026-03-26 22:33:43,fire,0.68
2026-03-26 22:33:43,fire,0.63
2026-03-26 22:33:44,fire,0.70
2026-03-26 22:33:48,fire,0.84
2026-03-26 22:33:48,fire,0.62
2026-03-26 22:33:49,fire,0.65
2026-03-26 22:33:56,fire,0.80
2026-03-26 22:34:01,fire,0.66
2026-03-26 22:36:55,fire,0.85
2026-03-26 22:37:03,fire,0.67
2026-03-26 22:37:05,fire,0.77
2026-03-26 22:37:11,fire,0.66
2026-03-26 22:37:14,fire,0.68
2026-03-26 22:37:19,fire,0.91
2026-03-26 22:37:21,fire,0.66
2026-03-26 22:37:23,fire,0.85
2026-03-26 22:37:40,fire,0.78
2026-03-26 22:37:42,fire,0.89
2026-03-26 22:37:43,fire,0.77
2026-03-26 22:37:44,fire,0.68
2026-03-26 22:37:45,fire,0.65
2026-03-26 22:37:56,fire,0.78
2026-03-26 22:37:58,fire,0.70
2026-03-26 22:37:59,fire,0.69
2026-03-26 22:38:00,fire,0.92
2026-03-26 22:38:01,fire,0.93
2026-03-26 22:38:03,fire,0.95
2026-03-26 22:38:04,fire,0.85
2026-03-26 22:38:05,fire,0.67
2026-03-26 22:38:06,fire,0.81
2026-03-26 23:17:03,fire,0.61
2026-03-26 23:17:04,fire,0.80
2026-03-26 23:17:05,fire,0.94
2026-03-26 23:17:05,fire,0.93
2026-03-26 23:17:05,fire,0.97
2026-03-26 23:17:06,fire,0.97
2026-03-26 23:17:06,fire,0.93
2026-03-26 23:17:06,fire,0.77
2026-03-26 23:17:07,fire,0.93
2026-03-26 23:17:07,fire,0.94
2026-03-26 23:17:07,fire,0.94
2026-03-26 23:17:08,fire,0.96
2026-03-26 23:17:08,fire,0.95
2026-03-26 23:17:08,fire,0.96
2026-03-26 23:17:09,fire,0.93
2026-03-26 23:17:09,fire,0.84
2026-03-26 23:17:09,fire,0.77
2026-03-26 23:17:10,fire,0.64
2026-03-26 23:17:10,fire,0.75
2026-03-26 23:17:10,fire,0.81
2026-03-26 23:17:11,fire,0.90
2026-03-26 23:17:11,fire,0.91
2026-03-26 23:17:11,fire,0.97
2026-03-26 23:17:12,fire,0.97
2026-03-26 23:17:12,fire,0.98
2026-03-26 23:17:13,fire,0.97
2026-03-26 23:17:13,fire,0.98
2026-03-26 23:17:13,fire,0.98
2026-03-26 23:17:14,fire,0.98
2026-03-26 23:17:14,fire,0.99
2026-03-26 23:17:15,fire,0.99
2026-03-26 23:17:16,fire,0.98
2026-03-26 23:17:16,fire,0.97
2026-03-26 23:17:17,fire,0.97
2026-03-26 23:17:17,fire,0.97
2026-03-26 23:17:18,fire,0.98
2026-03-26 23:17:18,fire,0.96
2026-03-26 23:17:19,fire,0.97
2026-03-26 23:17:19,fire,0.98
2026-03-26 23:17:19,fire,0.96
2026-03-26 23:17:20,fire,0.98
2026-03-26 23:17:20,fire,0.96
2026-03-26 23:17:21,fire,0.95
2026-03-26 23:17:21,fire,0.96
2026-03-26 23:17:22,fire,0.96
2026-03-26 23:17:22,fire,0.92
2026-03-26 23:17:23,fire,0.96
2026-03-26 23:17:23,fire,0.94
